GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0045104	intermediate filament cytoskeleton organization	0.011348862702286253	0.011348862702286253	+1	ENSG00000166579,ENSG00000132688,ENSG00000118898,ENSG00000132155
GO:0045103	intermediate filament-based process	0.011607392191655967	0.011607392191655967	+1	ENSG00000166579,ENSG00000132688,ENSG00000118898,ENSG00000132155
GO:0061436	establishment of skin barrier	0.023042532892036484	0.023042532892036484	+1	ENSG00000143520,ENSG00000167768,ENSG00000143631
GO:0043588	skin development	0.024478297412735675	0.024478297412735675	+1	ENSG00000143520,ENSG00000167768,ENSG00000143631,ENSG00000075275,ENSG00000116285,ENSG00000118898,ENSG00000162601
GO:0045598	regulation of fat cell differentiation	0.024478297412735675	0.024478297412735675	+1	ENSG00000112033,ENSG00000018408,ENSG00000176845,ENSG00000176624,ENSG00000012779
GO:0042886	amide transport	0.024478297412735675	0.024478297412735675	+1	ENSG00000123836,ENSG00000139433,ENSG00000112033,ENSG00000165029,ENSG00000132155,ENSG00000012779,ENSG00000135631
GO:0033561	regulation of water loss via skin	0.024478297412735675	0.024478297412735675	+1	ENSG00000143520,ENSG00000167768,ENSG00000143631
GO:0009612	response to mechanical stimulus	0.024478297412735675	0.024478297412735675	+1	ENSG00000130522,ENSG00000164442,ENSG00000118898,ENSG00000134046,ENSG00000103335,ENSG00000132155
GO:0022409	positive regulation of cell-cell adhesion	0.024478297412735675	0.024478297412735675	+1	ENSG00000164442,ENSG00000107968,ENSG00000103335,ENSG00000184216,ENSG00000012779,ENSG00000130396,ENSG00000179388
GO:0050728	negative regulation of inflammatory response	0.03631231589281639	0.03631231589281639	+1	ENSG00000167768,ENSG00000112033,ENSG00000176845,ENSG00000077984,ENSG00000012779
GO:0002790	peptide secretion	0.03631231589281639	0.03631231589281639	+1	ENSG00000123836,ENSG00000112033,ENSG00000165029,ENSG00000132155,ENSG00000012779,ENSG00000135631
GO:0032966	negative regulation of collagen biosynthetic process	0.04550616202103687	0.04550616202103687	+1	ENSG00000112033,ENSG00000116285
GO:0010887	negative regulation of cholesterol storage	0.04550616202103687	0.04550616202103687	+1	ENSG00000112033,ENSG00000165029
GO:0015833	peptide transport	0.0472879484799987	0.0472879484799987	+1	ENSG00000123836,ENSG00000112033,ENSG00000165029,ENSG00000132155,ENSG00000012779,ENSG00000135631
GO:0008544	epidermis development	0.0472879484799987	0.0472879484799987	+1	ENSG00000143520,ENSG00000143631,ENSG00000112033,ENSG00000075275,ENSG00000116285,ENSG00000118898,ENSG00000162601
GO:1903671	negative regulation of sprouting angiogenesis	0.047532930376240574	0.047532930376240574	+1	ENSG00000063245,ENSG00000012779
GO:0010713	negative regulation of collagen metabolic process	0.047532930376240574	0.047532930376240574	+1	ENSG00000112033,ENSG00000116285
