baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000076864	136.685834299938	5.05809956274569	0.816013945047142	6.38946575002435	1.66466316295351e-10	1.94166311326897e-06
ENSG00000087495	43.2520515802893	-4.33141433270938	0.734803639281805	-5.72734292172077	1.02015821579733e-08	2.97478135726501e-05
ENSG00000100362	439.139690749138	-4.50910111561269	0.819650319539828	-5.73830603357725	9.56282012438870e-09	2.97478135726501e-05
ENSG00000198780	55.6592870208309	-4.75768990255668	0.789509181782366	-5.83510597486297	5.3756389021834e-09	2.97478135726501e-05
ENSG00000123415	27.9136790466205	4.08156876513712	0.780477380164954	5.21152212523275	1.87297499874006e-07	0.000436927607706082
ENSG00000167280	57.7879768602732	-4.14283848560362	0.850825694527029	-4.99749423472286	5.80800746214847e-07	0.000976381806455808
ENSG00000176225	31.4428599698063	3.98230689690757	0.807269566804774	4.99578701958691	5.85963018277662e-07	0.000976381806455808
ENSG00000111412	66.0145329416309	3.74126126342669	0.747935644289104	4.96166793664577	6.9890405463642e-07	0.0010190021116599
ENSG00000116260	45.9394019673257	-4.00417185912179	0.834481018636762	-4.84986159204371	1.23547653295655e-06	0.00160117758671169
ENSG00000075218	28.2615279922782	3.81792664333889	0.795198133777528	4.80482060459943	1.54890320483953e-06	0.00174912532027809
ENSG00000178229	24.8055461513276	3.8050509735483	0.801664218619823	4.79220863066361	1.64955234251192e-06	0.00174912532027809
ENSG00000285053	54.0570641891937	-3.92250503554951	0.862005423167893	-4.7436386842948	2.09913116950849e-06	0.00204035549676226
ENSG00000170935	34.3521062314752	-3.92150958141537	0.826472244537047	-4.71800384374599	2.38169995552527e-06	0.00213693448317282
ENSG00000065268	26.4433106436591	3.47455400698123	0.728992487898904	4.68628927614336	2.78202974998339e-06	0.00231782821455759
ENSG00000136867	38.5448537770001	3.7706963493964	0.839740919912513	4.65033542917828	3.3139559772171e-06	0.00257693216788402
ENSG00000084674	340.209389841525	3.08115171142459	0.904203917678447	4.5967822558596	4.29065600443295e-06	0.00294389480210035
ENSG00000108984	17.6924170726647	3.60604070874055	0.785075969935769	4.59893085281727	4.24664693731664e-06	0.00294389480210035
ENSG00000119125	46.4638301782534	3.65353227407236	0.865298581401164	4.54169385867997	5.58040379288403e-06	0.00361610165778885
ENSG00000170677	32.1141176587585	3.65901904286025	0.843456128539339	4.51768641539049	6.25189802267703e-06	0.00383800729139499
ENSG00000119711	30.7056907076027	3.62047620483819	0.8436212307353	4.46800047046128	7.89541323406778e-06	0.00419770309003635
ENSG00000136052	31.843298751506	3.61124233485457	0.84654410513846	4.45788149599666	8.2773637749345e-06	0.00419770309003635
ENSG00000140365	36.5397390879801	3.64375063475059	0.818341489812534	4.47204150648915	7.74763844737718e-06	0.00419770309003635
ENSG00000198455	39.004865331603	-3.73145288506197	0.853667321261711	-4.46598872442176	7.96998075648837e-06	0.00419770309003635
ENSG00000263002	20.5142904506839	3.54467741578243	0.814072344996972	4.42590349428379	9.60394559463575e-06	0.00466751755899297
ENSG00000169981	25.1940538445944	3.56795458805288	0.832028851304582	4.41649455592341	1.00314426220563e-05	0.00468026986974658
ENSG00000150787	33.9883949427413	3.56440777212835	0.855524917487515	4.39526754489441	1.10636402262685e-05	0.00491628154560973
ENSG00000163900	25.4821285012268	-3.67486410431249	0.833695262779497	-4.3891342292642	1.13802813555781e-05	0.00491628154560973
ENSG00000188868	41.7069728268072	-3.63015074751672	0.870004461952467	-4.36745800333048	1.25700956553452e-05	0.00523634270442665
ENSG00000148400	63.6031563692108	-3.2692313844609	0.749737515754617	-4.34783751724502	1.3748639538453e-05	0.00552979764056952
ENSG00000107816	51.4858211885944	3.31341374903708	0.762374118211282	4.33599579187249	1.45101719500132e-05	0.00564155485416513
ENSG00000120697	28.825294290532	3.5132068657097	0.848810295234611	4.32698882275082	1.51161629071674e-05	0.00568757819836131
ENSG00000148848	34.8824458923738	-3.59513949778186	0.864049143598366	-4.29245341438289	1.76709633678427e-05	0.00626353529217895
ENSG00000185158	23.5291810613529	-3.59686796586913	0.834609712635448	-4.29182689881533	1.77209074624404e-05	0.00626353529217895
